Credit_score,First Payment Due,First time home buyer flag,Maturity Date,METROPOLITAN STATISTICAL AREA (MSA) OR METROPOLITAN DIVISION,Mortgage Insurance Percentage,Number of units,Occupancy Status,Original_combined_loan_to_value,Original_debt_to_income_ratio,Unpaid_principal_balance,Original_loan_to_value,Original_interest_rate,Channel,PPM,Product type,Property_state,Property_type,Postal Code,Loan Sequence Number,Loan_purpose,Original_Loan_Term,Number_of_borrowers,Seller_name,Servicer_name,XYZ
778,200504,N,203503,30460,0,1,O,75,54,201000,75,5.75,R,N,FRM,KY,SF,40300,F105Q1000039,N,360,2,Other sellers,Other servicers,
694,200503,N,203502,12060,0,1,O,89,21,100000,80,5.625,R,N,FRM,GA,SF,30200,F105Q1000040,N,360,2,Other sellers,USBANKNA,
683,200503,N,203502,39100,0,1,O,67,31,100000,67,6,R,N,FRM,NY,SF,12500,F105Q1000041,P,360,2,Other sellers,Other servicers,
616,200503,N,203502,,12,1,O,83,34,71000,83,6,R,N,FRM,TX,SF,75900,F105Q1000042,N,360,2,Other sellers,Other servicers,
729,200503,N,203502,,0,1,O,61,33,200000,61,5.5,T,N,FRM,OH,SF,45000,F105Q1000043,N,360,2,Other sellers,PNCMTGESERVICES,INC
701,200503,N,203502,,35,1,O,95,40,208000,95,5.875,R,N,FRM,OR,MH,97100,F105Q1000044,P,360,2,Other sellers,WELLSFARGOBANK,NA
781,200503,N,203502,31740,0,1,O,74,26,200000,74,5.625,R,N,FRM,KS,SF,66500,F105Q1000045,C,360,2,Other sellers,NATLCITYMTGECO,
622,200503,N,203502,26580,0,1,O,79,28,167000,79,6.125,R,N,FRM,OH,SF,45600,F105Q1000046,N,360,2,Other sellers,Other servicers,
608,200504,N,203503,19380,0,1,O,95,38,124000,80,5.875,T,N,FRM,OH,SF,45300,F105Q1000047,P,360,2,Other sellers,USBANKNA,
722,200503,N,203502,,0,1,O,86,28,124000,80,6,R,N,FRM,IL,MH,62800,F105Q1000048,N,360,1,Other sellers,WELLSFARGOBANK,NA
747,200503,N,203502,39100,0,1,O,63,48,180000,63,5.75,R,N,FRM,NY,SF,12500,F105Q1000049,C,360,1,Other sellers,Other servicers,
745,200503,N,203502,31740,0,1,O,79,34,360000,79,5.625,R,N,FRM,KS,SF,66500,F105Q1000050,N,360,2,Other sellers,PNCMTGESERVICES,INC
758,200502,N,203501,,0,1,O,89,27,142000,80,5.5,R,N,FRM,IA,SF,50500,F105Q1000051,N,360,2,Other sellers,Other servicers,
